name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf1Genotype,modifiedBy,diagnosis,studyName,platform,assay,species,fundingAgency,organ,tissue
NF_Set7_0150_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0200_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0250_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0300_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0500_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_0750_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set7_1000_19Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set8_0025_20Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set8_0050_20Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set8_0075_20Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set8_0100_20Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
NF_Set8_0150_20Aug2015.RAW,raw,proteomics,raw,experimentalData,syn4984604,-/-,3434950,Neurofibromatosis type 1,Cutaneous Neurofibroma Data Resource,nanoESI-LTQ-Orbitrap XL,MudPIT,Homo sapiens,CTF,skin,primary tumor
